MONTH,HM00,HM01,HM02,HM03,HM04,HM05,HM06,HS00,HS01,HS02,HS03,MA00,MA01,MA02,MA03,MA04,MA05,MA06,MA09,MH00,MH01,MH02,MH03,MH04,MH09,OC96,OC99,SH01,SH03
Jan-2018,2,2,117,115,5,158,0,19,4,1,8,4,391,10,2,3,0,1,0,0,0,8,3,51,11,12,23444,14,0
Feb-2018,0,0,99,93,5,144,1,13,7,3,10,3,326,10,5,2,1,1,3,0,0,6,6,34,7,5,23739,7,0
Mar-2018,2,1,109,70,4,127,0,12,8,1,12,4,312,8,2,0,3,2,0,0,0,9,4,31,11,15,24035,20,0
Apr-2018,0,1,124,79,4,148,0,12,11,2,12,1,358,13,4,3,4,1,0,0,1,6,4,40,10,15,24027,8,0
May-2018,4,3,142,73,4,163,0,15,8,1,16,4,343,10,1,2,3,1,1,1,0,11,3,45,12,6,24439,11,0
Jun-2018,1,1,158,91,3,146,0,17,11,2,10,3,364,7,2,3,5,1,1,0,0,4,7,48,12,11,24666,12,1
Jul-2018,1,1,155,93,3,187,0,23,8,0,16,4,388,11,4,2,2,2,2,0,1,7,8,49,14,11,24990,15,0
Aug-2018,0,1,143,100,4,143,0,11,7,0,10,2,338,20,3,2,3,2,0,0,0,13,4,43,9,8,25272,12,0
Sep-2018,2,3,127,82,3,149,0,19,3,2,10,2,269,10,1,0,2,3,2,0,0,8,2,28,12,8,25484,15,2
Oct-2018,5,1,150,87,3,157,0,19,8,1,11,6,348,14,2,1,1,5,3,0,0,7,6,22,6,22,25724,15,0
Nov-2018,2,1,129,77,3,174,1,17,12,0,16,4,382,11,1,4,2,1,2,0,1,8,11,26,11,10,26035,13,1
Dec-2018,1,2,120,88,5,125,1,10,6,1,5,5,294,8,2,3,0,5,2,0,0,7,7,13,6,12,26077,10,0
Jan-2019,3,2,141,86,4,181,0,20,5,2,9,2,375,12,4,4,1,2,1,0,0,10,6,23,9,15,26242,11,0
Feb-2019,1,0,118,83,4,142,0,14,4,0,22,1,340,8,1,2,3,1,0,0,1,6,5,25,10,14,26465,14,0
Mar-2019,3,2,122,86,1,169,0,20,10,3,9,2,332,12,1,2,2,1,7,0,0,9,5,36,10,8,26711,14,0
Apr-2019,2,0,136,73,3,143,0,18,6,0,10,5,350,12,3,2,3,5,1,0,0,11,3,41,9,10,20807,13,0
May-2019,5,0,65,46,5,98,1,10,8,0,15,1,200,12,3,2,1,3,3,0,0,6,3,20,4,6,21282,9,0
Jun-2019,1,0,50,43,3,82,0,6,2,0,4,4,185,9,1,1,6,1,1,0,0,5,2,17,3,4,21443,8,0
Jul-2019,1,0,56,43,3,75,1,9,7,0,16,2,203,20,1,1,4,5,2,0,0,6,4,18,5,2,21672,6,0
Aug-2019,3,0,44,48,1,63,0,8,4,0,12,4,188,9,0,3,4,3,3,0,0,7,1,11,6,4,21532,5,0
Sep-2019,2,0,63,43,4,78,0,16,3,0,11,1,212,9,0,2,4,2,2,0,1,4,6,15,6,5,21491,8,0
Oct-2019,5,1,77,35,6,77,0,5,4,1,7,2,180,11,4,3,5,3,2,0,0,7,4,23,9,2,21711,6,0
Nov-2019,4,0,70,44,2,80,1,9,6,1,2,3,212,10,2,8,1,3,2,0,1,6,1,36,3,2,21611,6,0
Dec-2019,2,0,54,36,3,64,0,9,2,0,7,1,159,8,3,4,1,1,1,0,1,7,5,28,4,3,21397,6,1
Jan-2020,5,0,55,50,5,71,0,7,5,0,8,0,206,8,3,4,4,4,3,0,0,3,6,29,7,3,21628,7,1
Feb-2020,2,2,76,33,7,62,1,6,5,0,4,3,174,9,3,2,0,1,2,0,0,6,4,20,14,2,21731,5,0
Mar-2020,0,0,69,36,1,70,0,3,4,2,12,1,128,9,2,2,2,6,1,0,0,1,6,19,4,4,21626,9,0
Apr-2020,2,0,29,26,2,47,0,3,3,0,9,0,79,5,2,2,0,3,1,0,0,6,5,6,2,1,20404,5,0
May-2020,4,0,38,23,2,42,0,3,3,0,3,0,92,6,0,5,2,2,0,0,0,2,4,9,3,3,20188,4,0
Jun-2020,1,0,44,19,3,68,0,6,2,0,9,4,136,9,4,3,1,3,2,0,0,7,1,18,3,3,20401,0,0
Jul-2020,2,0,52,38,4,60,0,5,3,0,9,3,117,10,0,3,1,4,4,1,0,2,2,13,0,9,20843,7,1
Aug-2020,4,0,43,20,2,52,0,6,6,2,13,2,128,4,2,4,0,3,2,0,0,0,0,14,2,2,20984,2,0
Sep-2020,3,0,59,41,3,58,1,6,7,0,10,2,125,3,0,5,0,5,2,0,0,2,4,8,3,2,21156,2,0
Oct-2020,6,0,56,54,0,68,1,9,4,0,9,1,96,18,4,4,1,5,3,0,0,4,5,18,6,4,21377,6,0
Nov-2020,3,0,54,45,0,72,2,2,3,1,7,1,124,6,1,4,0,4,1,0,0,5,4,52,4,2,21295,8,0
Dec-2020,1,0,53,39,3,68,1,4,3,0,10,1,95,6,1,1,1,5,1,0,0,2,3,23,5,3,21359,5,0
Jan-2021,3,0,50,41,2,60,1,3,1,1,5,3,108,4,2,2,2,1,1,0,0,2,2,17,3,6,21362,3,0
