MonthY,Month,Year,AccommodationNationalCode,NumberOfClientsContactedInMonth
1,Jan-18,2018,HM05,1
1,Jan-18,2018,HS01,2
1,Jan-18,2018,MA00,30
1,Jan-18,2018,MA01,18
1,Jan-18,2018,MA02,36
1,Jan-18,2018,MA04,43
1,Jan-18,2018,MA05,10
1,Jan-18,2018,MA06,16
1,Jan-18,2018,MA09,6
1,Jan-18,2018,MH01,6
1,Jan-18,2018,MH04,1
1,Jan-18,2018,OC97,1
1,Jan-18,2018,OC99,906
1,Jan-18,2018,SH00,1
2,Feb-18,2018,HM00,1
2,Feb-18,2018,HM04,1
2,Feb-18,2018,HM05,5
2,Feb-18,2018,HM06,4
2,Feb-18,2018,HS00,1
2,Feb-18,2018,MA00,39
2,Feb-18,2018,MA01,11
2,Feb-18,2018,MA02,30
2,Feb-18,2018,MA03,1
2,Feb-18,2018,MA04,37
2,Feb-18,2018,MA05,8
2,Feb-18,2018,MA06,8
2,Feb-18,2018,MA09,10
2,Feb-18,2018,MH00,1
2,Feb-18,2018,MH01,6
2,Feb-18,2018,OC99,772
2,Feb-18,2018,SH01,1
2,Feb-18,2018,SH02,1
2,Feb-18,2018,SH03,1
3,Mar-18,2018,HM00,1
3,Mar-18,2018,HM05,1
3,Mar-18,2018,HM06,4
3,Mar-18,2018,HS01,1
3,Mar-18,2018,MA00,45
3,Mar-18,2018,MA01,11
3,Mar-18,2018,MA02,38
3,Mar-18,2018,MA03,1
3,Mar-18,2018,MA04,32
3,Mar-18,2018,MA05,7
3,Mar-18,2018,MA06,11
3,Mar-18,2018,MA09,9
3,Mar-18,2018,MH01,5
3,Mar-18,2018,OC97,1
3,Mar-18,2018,OC99,844
3,Mar-18,2018,SH03,1
4,Apr-18,2018,CJ02,1
4,Apr-18,2018,HM05,1
4,Apr-18,2018,HM06,1
4,Apr-18,2018,MA00,39
4,Apr-18,2018,MA01,8
4,Apr-18,2018,MA02,29
4,Apr-18,2018,MA04,42
4,Apr-18,2018,MA05,13
4,Apr-18,2018,MA06,13
4,Apr-18,2018,MA09,11
4,Apr-18,2018,MH01,2
4,Apr-18,2018,MH04,1
4,Apr-18,2018,OC99,726
4,Apr-18,2018,SH00,1
4,Apr-18,2018,SH03,1
5,May-18,2018,HM04,1
5,May-18,2018,HM05,1
5,May-18,2018,HM06,3
5,May-18,2018,HS01,1
5,May-18,2018,HS03,2
5,May-18,2018,MA00,54
5,May-18,2018,MA01,18
5,May-18,2018,MA02,43
5,May-18,2018,MA03,2
5,May-18,2018,MA04,56
5,May-18,2018,MA05,10
5,May-18,2018,MA06,10
5,May-18,2018,MA09,12
5,May-18,2018,MH01,5
5,May-18,2018,MH03,1
5,May-18,2018,MH04,3
5,May-18,2018,ML00,1
5,May-18,2018,OC97,1
5,May-18,2018,OC99,806
5,May-18,2018,SH01,1
