MonthY,Month,Year,AccommodationNationalCode,NumberOfClientsOnCPAAtMonthEnd
1,01/01/2018,2018,CH00,2
1,01/01/2018,2018,CH02,1
1,01/01/2018,2018,CH09,4
1,01/01/2018,2018,CJ01,1
1,01/01/2018,2018,CJ02,4
1,01/01/2018,2018,CJ09,1
1,01/01/2018,2018,HM00,10
1,01/01/2018,2018,HM01,2
1,01/01/2018,2018,HM03,7
1,01/01/2018,2018,HM04,3
1,01/01/2018,2018,HM05,53
1,01/01/2018,2018,HM06,35
1,01/01/2018,2018,HM07,2
1,01/01/2018,2018,HS00,6
1,01/01/2018,2018,HS01,56
1,01/01/2018,2018,HS02,3
1,01/01/2018,2018,HS03,54
1,01/01/2018,2018,HS04,159
1,01/01/2018,2018,HS05,11
1,01/01/2018,2018,HS09,2
1,01/01/2018,2018,MA00,586
1,01/01/2018,2018,MA01,125
1,01/01/2018,2018,MA02,617
1,01/01/2018,2018,MA03,4
1,01/01/2018,2018,MA04,647
1,01/01/2018,2018,MA05,295
1,01/01/2018,2018,MA06,141
1,01/01/2018,2018,MA09,51
1,01/01/2018,2018,MH00,62
1,01/01/2018,2018,MH01,306
1,01/01/2018,2018,MH02,4
1,01/01/2018,2018,MH03,6
1,01/01/2018,2018,MH04,28
1,01/01/2018,2018,MH09,15
1,01/01/2018,2018,OC96,1
1,01/01/2018,2018,OC97,2
1,01/01/2018,2018,OC99,885
1,01/01/2018,2018,SH00,2
1,01/01/2018,2018,SH01,1
1,01/01/2018,2018,SH02,1
1,01/01/2018,2018,SH03,3
2,01/02/2018,2018,CH00,2
2,01/02/2018,2018,CH02,1
2,01/02/2018,2018,CH09,4
2,01/02/2018,2018,CJ01,1
2,01/02/2018,2018,CJ02,3
2,01/02/2018,2018,CJ09,1
2,01/02/2018,2018,HM00,9
2,01/02/2018,2018,HM01,2
2,01/02/2018,2018,HM03,6
2,01/02/2018,2018,HM04,2
2,01/02/2018,2018,HM05,48
2,01/02/2018,2018,HM06,28
2,01/02/2018,2018,HM07,2
2,01/02/2018,2018,HS00,6
2,01/02/2018,2018,HS01,52
2,01/02/2018,2018,HS02,3
2,01/02/2018,2018,HS03,57
2,01/02/2018,2018,HS04,163
2,01/02/2018,2018,HS05,11
2,01/02/2018,2018,HS09,2
2,01/02/2018,2018,MA00,580
2,01/02/2018,2018,MA01,124
2,01/02/2018,2018,MA02,622
2,01/02/2018,2018,MA03,4
2,01/02/2018,2018,MA04,644
2,01/02/2018,2018,MA05,288
2,01/02/2018,2018,MA06,139
2,01/02/2018,2018,MA09,48
2,01/02/2018,2018,MH00,58
2,01/02/2018,2018,MH01,300
2,01/02/2018,2018,MH02,4
2,01/02/2018,2018,MH03,5
2,01/02/2018,2018,MH04,26
2,01/02/2018,2018,MH09,17
2,01/02/2018,2018,OC96,2
2,01/02/2018,2018,OC97,2
2,01/02/2018,2018,OC99,933
2,01/02/2018,2018,SH00,2
2,01/02/2018,2018,SH01,1
2,01/02/2018,2018,SH02,1
2,01/02/2018,2018,SH03,3
3,01/03/2018,2018,CH00,2
3,01/03/2018,2018,CH02,2
3,01/03/2018,2018,CH09,4
3,01/03/2018,2018,CJ01,1
3,01/03/2018,2018,CJ02,2
3,01/03/2018,2018,CJ09,1
3,01/03/2018,2018,HM00,9
3,01/03/2018,2018,HM01,2
3,01/03/2018,2018,HM03,7
3,01/03/2018,2018,HM04,2
3,01/03/2018,2018,HM05,46
3,01/03/2018,2018,HM06,28
3,01/03/2018,2018,HM07,3
3,01/03/2018,2018,HS00,6
3,01/03/2018,2018,HS01,50
3,01/03/2018,2018,HS02,3
3,01/03/2018,2018,HS03,57
3,01/03/2018,2018,HS04,161
3,01/03/2018,2018,HS05,11
3,01/03/2018,2018,HS09,2
3,01/03/2018,2018,MA00,575
3,01/03/2018,2018,MA01,113
3,01/03/2018,2018,MA02,635
3,01/03/2018,2018,MA03,4
3,01/03/2018,2018,MA04,637
3,01/03/2018,2018,MA05,274
3,01/03/2018,2018,MA06,139
3,01/03/2018,2018,MA09,51
3,01/03/2018,2018,MH00,57
3,01/03/2018,2018,MH01,295
3,01/03/2018,2018,MH02,4
3,01/03/2018,2018,MH03,5
3,01/03/2018,2018,MH04,26
3,01/03/2018,2018,MH09,16
3,01/03/2018,2018,OC96,1
3,01/03/2018,2018,OC97,14
3,01/03/2018,2018,OC99,935
3,01/03/2018,2018,SH00,2
3,01/03/2018,2018,SH01,1
3,01/03/2018,2018,SH02,1
3,01/03/2018,2018,SH03,3
4,01/04/2018,2018,CH00,2
4,01/04/2018,2018,CH02,1
4,01/04/2018,2018,CH09,4
4,01/04/2018,2018,CJ01,1
4,01/04/2018,2018,CJ02,2
4,01/04/2018,2018,CJ09,1
4,01/04/2018,2018,HM00,7
4,01/04/2018,2018,HM01,2
4,01/04/2018,2018,HM02,1
4,01/04/2018,2018,HM03,7
4,01/04/2018,2018,HM04,2
4,01/04/2018,2018,HM05,41
4,01/04/2018,2018,HM06,28
4,01/04/2018,2018,HM07,3
4,01/04/2018,2018,HS00,6
4,01/04/2018,2018,HS01,48
4,01/04/2018,2018,HS02,2
4,01/04/2018,2018,HS03,58
4,01/04/2018,2018,HS04,161
4,01/04/2018,2018,HS05,10
4,01/04/2018,2018,HS09,2
4,01/04/2018,2018,MA00,567
4,01/04/2018,2018,MA01,115
4,01/04/2018,2018,MA02,628
4,01/04/2018,2018,MA03,3
4,01/04/2018,2018,MA04,636
4,01/04/2018,2018,MA05,272
4,01/04/2018,2018,MA06,131
4,01/04/2018,2018,MA09,45
4,01/04/2018,2018,MH00,53
4,01/04/2018,2018,MH01,286
4,01/04/2018,2018,MH02,6
4,01/04/2018,2018,MH03,5
4,01/04/2018,2018,MH04,26
4,01/04/2018,2018,MH09,14
4,01/04/2018,2018,OC96,1
4,01/04/2018,2018,OC97,13
4,01/04/2018,2018,OC99,969
4,01/04/2018,2018,SH00,2
4,01/04/2018,2018,SH01,1
4,01/04/2018,2018,SH02,1
4,01/04/2018,2018,SH03,3
5,01/05/2018,2018,CH00,2
5,01/05/2018,2018,CH02,1
5,01/05/2018,2018,CH09,4
5,01/05/2018,2018,CJ02,2
5,01/05/2018,2018,CJ09,1
5,01/05/2018,2018,HM00,5
5,01/05/2018,2018,HM01,1
5,01/05/2018,2018,HM02,1
5,01/05/2018,2018,HM03,10
5,01/05/2018,2018,HM04,3
5,01/05/2018,2018,HM05,42
5,01/05/2018,2018,HM06,27
5,01/05/2018,2018,HM07,3
5,01/05/2018,2018,HS00,6
5,01/05/2018,2018,HS01,43
5,01/05/2018,2018,HS02,2
5,01/05/2018,2018,HS03,65
5,01/05/2018,2018,HS04,166
5,01/05/2018,2018,HS05,8
5,01/05/2018,2018,HS09,3
5,01/05/2018,2018,MA00,573
5,01/05/2018,2018,MA01,117
5,01/05/2018,2018,MA02,616
5,01/05/2018,2018,MA03,3
5,01/05/2018,2018,MA04,633
5,01/05/2018,2018,MA05,272
5,01/05/2018,2018,MA06,117
5,01/05/2018,2018,MA09,45
5,01/05/2018,2018,MH00,55
5,01/05/2018,2018,MH01,283
5,01/05/2018,2018,MH02,5
5,01/05/2018,2018,MH03,4
5,01/05/2018,2018,MH04,27
5,01/05/2018,2018,MH09,14
5,01/05/2018,2018,OC96,1
5,01/05/2018,2018,OC97,12
5,01/05/2018,2018,OC99,1018
5,01/05/2018,2018,SH00,2
5,01/05/2018,2018,SH01,1
5,01/05/2018,2018,SH02,1
5,01/05/2018,2018,SH03,3
6,01/06/2018,2018,CH00,2
6,01/06/2018,2018,CH02,1
6,01/06/2018,2018,CH09,3
6,01/06/2018,2018,CJ02,2
6,01/06/2018,2018,CJ09,1
6,01/06/2018,2018,HM00,7
6,01/06/2018,2018,HM01,1
6,01/06/2018,2018,HM02,2
6,01/06/2018,2018,HM03,9
6,01/06/2018,2018,HM04,2
6,01/06/2018,2018,HM05,44
6,01/06/2018,2018,HM06,25
6,01/06/2018,2018,HM07,3
6,01/06/2018,2018,HS00,7
6,01/06/2018,2018,HS01,38
6,01/06/2018,2018,HS02,1
6,01/06/2018,2018,HS03,67
6,01/06/2018,2018,HS04,168
6,01/06/2018,2018,HS05,8
6,01/06/2018,2018,HS09,2
6,01/06/2018,2018,MA00,564
6,01/06/2018,2018,MA01,118
6,01/06/2018,2018,MA02,636
6,01/06/2018,2018,MA03,2
6,01/06/2018,2018,MA04,629
6,01/06/2018,2018,MA05,256
6,01/06/2018,2018,MA06,120
6,01/06/2018,2018,MA09,45
6,01/06/2018,2018,MH00,50
6,01/06/2018,2018,MH01,282
6,01/06/2018,2018,MH02,5
6,01/06/2018,2018,MH03,3
6,01/06/2018,2018,MH04,27
6,01/06/2018,2018,MH09,13
6,01/06/2018,2018,OC96,1
6,01/06/2018,2018,OC97,9
6,01/06/2018,2018,OC99,1078
6,01/06/2018,2018,SH00,2
6,01/06/2018,2018,SH01,1
6,01/06/2018,2018,SH02,1
6,01/06/2018,2018,SH03,3
7,01/07/2018,2018,CH00,1
7,01/07/2018,2018,CH02,2
7,01/07/2018,2018,CH09,3
7,01/07/2018,2018,CJ02,2
7,01/07/2018,2018,CJ09,1
7,01/07/2018,2018,HM00,10
7,01/07/2018,2018,HM01,1
7,01/07/2018,2018,HM02,2
7,01/07/2018,2018,HM03,9
7,01/07/2018,2018,HM04,2
7,01/07/2018,2018,HM05,51
7,01/07/2018,2018,HM06,26
7,01/07/2018,2018,HM07,3
7,01/07/2018,2018,HS00,4
7,01/07/2018,2018,HS01,34
7,01/07/2018,2018,HS02,1
7,01/07/2018,2018,HS03,66
7,01/07/2018,2018,HS04,170
7,01/07/2018,2018,HS05,8
7,01/07/2018,2018,HS09,2
7,01/07/2018,2018,MA00,557
7,01/07/2018,2018,MA01,117
7,01/07/2018,2018,MA02,632
7,01/07/2018,2018,MA03,1
7,01/07/2018,2018,MA04,621
7,01/07/2018,2018,MA05,247
7,01/07/2018,2018,MA06,120
7,01/07/2018,2018,MA09,46
7,01/07/2018,2018,MH00,49
7,01/07/2018,2018,MH01,275
7,01/07/2018,2018,MH02,6
7,01/07/2018,2018,MH03,4
7,01/07/2018,2018,MH04,28
7,01/07/2018,2018,MH09,14
7,01/07/2018,2018,OC96,3
7,01/07/2018,2018,OC97,9
7,01/07/2018,2018,OC99,1101
7,01/07/2018,2018,SH00,2
7,01/07/2018,2018,SH01,1
7,01/07/2018,2018,SH02,1
7,01/07/2018,2018,SH03,2
8,01/08/2018,2018,CH00,2
8,01/08/2018,2018,CH02,2
8,01/08/2018,2018,CH09,3
8,01/08/2018,2018,CJ02,1
8,01/08/2018,2018,CJ09,1
8,01/08/2018,2018,HM00,7
8,01/08/2018,2018,HM01,1
8,01/08/2018,2018,HM02,1
8,01/08/2018,2018,HM03,9
8,01/08/2018,2018,HM04,2
8,01/08/2018,2018,HM05,50
8,01/08/2018,2018,HM06,26
8,01/08/2018,2018,HM07,3
8,01/08/2018,2018,HS00,4
8,01/08/2018,2018,HS01,33
8,01/08/2018,2018,HS03,66
8,01/08/2018,2018,HS04,166
8,01/08/2018,2018,HS05,9
8,01/08/2018,2018,HS09,2
8,01/08/2018,2018,MA00,575
8,01/08/2018,2018,MA01,125
8,01/08/2018,2018,MA02,625
8,01/08/2018,2018,MA03,1
8,01/08/2018,2018,MA04,608
8,01/08/2018,2018,MA05,246
8,01/08/2018,2018,MA06,118
8,01/08/2018,2018,MA09,48
8,01/08/2018,2018,MH00,55
8,01/08/2018,2018,MH01,269
8,01/08/2018,2018,MH02,6
8,01/08/2018,2018,MH03,7
8,01/08/2018,2018,MH04,31
8,01/08/2018,2018,MH09,17
8,01/08/2018,2018,OC96,3
8,01/08/2018,2018,OC97,9
8,01/08/2018,2018,OC99,1104
8,01/08/2018,2018,SH00,2
8,01/08/2018,2018,SH01,1
8,01/08/2018,2018,SH02,1
8,01/08/2018,2018,SH03,2
8,01/08/2018,2018,SH09,1
9,01/09/2018,2018,CH00,2
9,01/09/2018,2018,CH02,1
9,01/09/2018,2018,CH09,3
9,01/09/2018,2018,CJ02,2
9,01/09/2018,2018,CJ09,1
9,01/09/2018,2018,HM00,11
9,01/09/2018,2018,HM01,1
9,01/09/2018,2018,HM02,1
9,01/09/2018,2018,HM03,12
9,01/09/2018,2018,HM04,1
9,01/09/2018,2018,HM05,54
9,01/09/2018,2018,HM06,29
9,01/09/2018,2018,HM07,3
9,01/09/2018,2018,HS00,4
9,01/09/2018,2018,HS01,30
9,01/09/2018,2018,HS03,69
9,01/09/2018,2018,HS04,162
9,01/09/2018,2018,HS05,7
9,01/09/2018,2018,HS09,3
9,01/09/2018,2018,MA00,581
9,01/09/2018,2018,MA01,122
9,01/09/2018,2018,MA02,616
9,01/09/2018,2018,MA03,2
9,01/09/2018,2018,MA04,613
9,01/09/2018,2018,MA05,237
9,01/09/2018,2018,MA06,113
9,01/09/2018,2018,MA09,46
9,01/09/2018,2018,MH00,53
9,01/09/2018,2018,MH01,260
9,01/09/2018,2018,MH02,5
9,01/09/2018,2018,MH03,7
9,01/09/2018,2018,MH04,30
9,01/09/2018,2018,MH09,18
9,01/09/2018,2018,ML00,1
9,01/09/2018,2018,OC96,3
9,01/09/2018,2018,OC97,9
9,01/09/2018,2018,OC99,1118
9,01/09/2018,2018,SH00,2
9,01/09/2018,2018,SH01,1
9,01/09/2018,2018,SH02,1
9,01/09/2018,2018,SH03,2
9,01/09/2018,2018,SH09,1
