Table 2: ,The number of people in contact with adult mental health services (aged 18 to 69) and the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file) in 2019.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In 2019, the number of people in contact with adult mental health services (aged 18 to 69) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
CH00,Accommodation with other (not specialist mental health) care support ,1580,1562,1557,1712,1699,1677,1646,1697,1693,1682,1670,1672
CH01,Foyer - accommodation for young people aged 16-25 who are homeless or in housing need,52,54,54,49,53,50,65,50,57,57,58,59
CH02,Refuge,216,238,241,222,224,233,222,225,224,242,242,227
CH03,Non-Mental Health Registered Care Home ,944,920,915,868,835,850,854,822,846,843,871,892
CH09,Other accommodation with care and support (not specialist mental health),2193,2174,2189,1879,1865,1847,1879,1858,1896,1937,1970,1956
CJ00,Accommodation with criminal justice support ,136,142,136,420,495,485,473,478,493,477,477,477
CJ01,Bail/Probation hostel,159,166,164,115,107,109,114,110,121,125,127,116
CJ02,Prison,347,345,351,268,263,266,260,252,233,238,250,246
CJ03,Young Offender Institution,5,6,7,7,8,8,6,7,8,9,8,5
CJ04,Detention Centre,13,12,12,12,15,17,17,15,10,10,12,8
CJ05,Young Offender Institution (15-17),0,0,0,0,0,0,0,0,0,0,0,0
CJ06,Young Offender Institution (18-21),0,0,0,0,0,0,0,0,1,1,2,1
CJ07,Secure Children's Home (Secure Welfare Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0
CJ08,Secure Children's Home (Youth Detention Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0
CJ10,Secure Children's Home (Secure Welfare Accommodation and Youth Detention Accommodation),0,0,0,0,0,0,0,0,0,0,0,0
CJ11,Secure Training Centre,0,0,0,0,0,0,0,0,0,0,0,0
CJ12,Other accommodation with criminal justice support,0,0,0,11,10,12,8,14,11,11,13,13
HM00,Homeless ,1838,1845,1849,2307,2360,2383,2374,2362,2403,2449,2445,2424
HM01,Rough sleeper,482,479,472,392,402,372,369,355,369,394,398,397
HM02,Squatting,692,686,685,600,543,513,482,452,441,444,424,401
HM03,"Night shelter/emergency hostel/Direct access hostel (temporary accommodation accepting self referrals, no waiting list and relatively frequent vacancies)",1046,1093,1097,1004,969,932,884,861,845,851,850,828
HM04,Sofa surfing (sleeps on different friends floor each night),703,704,697,605,582,594,598,612,619,651,666,664
HM05,Placed in temporary accommodation by Local Authority (including Homelessness resettlement service) e.g. Bed and Breakfast accommodation,2511,2521,2535,2287,2260,2238,2189,2136,2086,2088,2096,2050
HM06,Staying with friends/family as a short term guest,5155,5043,4962,4839,4836,4862,4848,4776,4907,4958,4938,4840
HM07,Other homeless,1253,1276,1324,1055,1038,1042,1028,1026,1023,1003,1052,1043
HS00,Acute/long stay healthcare residential facility/hospital ,1026,1016,1014,1570,1653,1667,1686,1683,1673,1663,1666,1698
HS01,NHS acute psychiatric ward,716,712,726,592,598,585,585,586,566,565,570,593
HS02,Independent hospital/clinic,545,530,534,510,499,498,487,480,461,463,464,471
HS03,Specialist rehabilitation/recovery,984,988,964,859,845,820,820,819,840,848,823,835
HS04,Secure psychiatric unit,2828,2878,2910,2706,2685,2697,2725,2757,2792,2811,2828,2860
HS05,Other NHS facilities/hospital,459,465,464,457,453,437,457,471,469,472,471,469
HS09,Other acute/long stay healthcare residential facility/hospital,549,536,534,460,454,460,461,462,473,481,474,454
MA00,Mainstream Housing ,48863,49714,49816,61873,63128,63415,63759,63621,64100,61850,62331,62398
MA01,Owner occupier,31297,30847,30420,28137,28054,27929,27851,27589,27587,27998,28243,28161
MA02,Settled mainstream housing with family/friends,37285,37604,37831,35177,35317,35265,35240,35332,35499,36629,37017,37050
MA03,Shared ownership scheme e.g. Social Homebuy Scheme (tenant purchase percentage of home value from landlord),506,519,519,468,422,424,430,429,434,442,428,420
MA04,Tenant - Local Authority/Arms Length Management Organisation/Registered Landlord,23572,23316,22907,20991,20665,20565,20308,20145,19949,20085,20183,20103
MA05,Tenant - Housing Association,25665,25841,25700,23313,23058,22958,22827,22688,22724,23274,23487,23389
MA06,Tenant - private landlord,20241,20234,20112,18454,18434,18263,18110,17950,17977,18414,18641,18643
MA09,Other mainstream housing,8691,8779,8873,7035,6549,6541,6578,6446,6385,9659,9726,9841
MH00,Accommodation with mental health care support ,3706,3675,3690,4854,5342,5355,5369,5407,5435,5426,5506,5529
MH01,Supported accommodation (accommodation supported by staff or resident caretaker),9211,9225,9154,8548,8283,8305,8293,8188,8273,8514,8645,8714
MH02,Supported lodgings (lodgings supported by staff or resident caretaker),402,405,416,388,381,358,358,373,366,375,381,378
MH03,Supported group home (supported by staff or resident caretaker),1736,1696,1665,1652,1663,1632,1617,1587,1623,1683,1696,1704
MH04,Mental Health Registered Care Home ,2812,2807,2752,2584,2488,2382,2356,2313,2314,2386,2381,2353
MH09,Other accommodation with mental health care and support,1454,1479,1478,1374,1361,1319,1294,1287,1300,1311,1318,1341
ML00,Mobile accommodation ,171,174,189,207,232,242,232,236,238,244,253,244
OC96,Not elsewhere classified,2416,2388,2400,1922,1752,1703,1658,1669,1660,1656,1633,1611
OC97,Not specified,3093,3159,3163,2574,2586,2632,2687,2762,2789,2926,3071,3086
OC98,Not applicable,409,439,444,388,401,401,405,423,437,427,415,412
OC99,Not Known (Not Recorded),27552,27143,27259,29776,30579,30848,31309,31469,31707,31900,31869,31662
SH00,"Sheltered Housing (accommodation with a scheme manager or warden living on the premises or nearby, contactable by an alarm system if necessary) ",643,634,627,752,742,749,751,756,778,800,827,823
SH01,Sheltered housing for older persons,335,364,379,331,332,327,324,316,323,324,324,313
SH02,"Extra care sheltered housing (also known as 'very sheltered housing'. For people who are less able to manage on their own, but who do need an extra level of care. Services offered vary between schemes, but meals and some personal care are often provided.)",165,166,165,135,126,116,119,120,125,124,127,117
SH03,Nursing Home for older persons,652,639,623,609,611,602,599,593,599,612,607,597
