Table 3: ,The number of people in contact with adult mental health services (aged 18 to 69) and the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file) in 2020.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, the number of people in contact with adult mental health services (aged 18 to 69) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,,,,,,,,,,,,,
CH00,Accommodation with other (not specialist mental health) care support ,1666,1678,1642,1598,1625,1610,1579,1373,1300,1247,1228,1166,,,,,,,,,,,,,
CH01,Foyer - accommodation for young people aged 16-25 who are homeless or in housing need,55,61,58,54,54,46,47,47,45,50,51,48,,,,,,,,,,,,,
CH02,Refuge,171,173,166,166,171,172,161,177,183,181,182,178,,,,,,,,,,,,,
CH03,Non-Mental Health Registered Care Home ,893,917,879,835,821,810,827,900,896,879,893,890,,,,,,,,,,,,,
CH09,Other accommodation with care and support (not specialist mental health),1912,1923,1852,1800,1761,1743,1712,1831,1822,1815,1763,1712,,,,,,,,,,,,,
CJ00,Accommodation with criminal justice support ,415,438,406,395,408,433,422,305,302,290,281,268,,,,,,,,,,,,,
CJ01,Bail/Probation hostel,115,109,103,78,79,72,75,105,97,108,108,120,,,,,,,,,,,,,
CJ02,Prison,245,240,218,189,171,164,159,230,233,224,221,228,,,,,,,,,,,,,
CJ03,Young Offender Institution,7,6,4,4,2,2,2,2,3,0,1,3,,,,,,,,,,,,,
CJ04,Detention Centre,7,7,6,5,6,7,6,7,9,7,6,7,,,,,,,,,,,,,
CJ05,Young Offender Institution (15-17),0,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,
CJ06,Young Offender Institution (18-21),1,1,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,
CJ07,Secure Children's Home (Secure Welfare Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CJ08,Secure Children's Home (Youth Detention Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CJ10,Secure Children's Home (Secure Welfare Accommodation and Youth Detention Accommodation),0,0,0,0,0,1,1,1,1,2,2,1,,,,,,,,,,,,,
CJ11,Secure Training Centre,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CJ12,Other accommodation with criminal justice support,14,12,16,17,20,20,22,23,23,24,24,24,,,,,,,,,,,,,
HM00,Homeless ,2259,2272,2183,2426,2408,2428,2395,1973,1880,1858,1843,1779,,,,,,,,,,,,,
HM01,Rough sleeper,313,319,314,308,322,345,338,405,413,389,391,408,,,,,,,,,,,,,
HM02,Squatting,372,381,377,346,348,347,344,355,361,370,359,356,,,,,,,,,,,,,
HM03,"Night shelter/emergency hostel/Direct access hostel (temporary accommodation accepting self referrals, no waiting list and relatively frequent vacancies)",783,746,714,692,681,689,691,742,770,744,776,796,,,,,,,,,,,,,
HM04,Sofa surfing (sleeps on different friends floor each night),648,657,633,593,578,564,588,644,644,655,614,609,,,,,,,,,,,,,
HM05,Placed in temporary accommodation by Local Authority (including Homelessness resettlement service) e.g. Bed and Breakfast accommodation,1815,1806,1772,1724,1754,1778,1811,1901,1917,1964,2000,2008,,,,,,,,,,,,,
HM06,Staying with friends/family as a short term guest,4543,4486,4333,3827,3719,3681,3672,3747,3689,3607,3565,3657,,,,,,,,,,,,,
HM07,Other homeless,1026,1024,1064,951,972,959,948,1064,1106,1119,1121,1082,,,,,,,,,,,,,
HS00,Acute/long stay healthcare residential facility/hospital ,1674,1651,1626,1636,1616,1598,1600,1071,1053,1009,957,911,,,,,,,,,,,,,
HS01,NHS acute psychiatric ward,579,602,595,589,587,594,600,672,690,712,701,716,,,,,,,,,,,,,
HS02,Independent hospital/clinic,470,474,473,447,456,474,480,544,548,535,549,547,,,,,,,,,,,,,
HS03,Specialist rehabilitation/recovery,789,771,772,761,758,786,788,892,905,931,921,936,,,,,,,,,,,,,
HS04,Secure psychiatric unit,2869,2834,2850,2791,2787,2761,2787,2995,3017,3012,2978,3028,,,,,,,,,,,,,
HS05,Other NHS facilities/hospital,441,419,408,401,409,406,393,410,407,380,371,373,,,,,,,,,,,,,
HS09,Other acute/long stay healthcare residential facility/hospital,464,469,450,436,456,446,440,503,497,506,504,500,,,,,,,,,,,,,
MA00,Mainstream Housing ,58324,58533,57246,63269,62771,62227,61774,50980,49624,47909,46330,45052,,,,,,,,,,,,,
MA01,Owner occupier,27337,27359,26783,24221,23947,23988,23943,25308,25149,24961,24661,24441,,,,,,,,,,,,,
MA02,Settled mainstream housing with family/friends,36118,36387,36122,35030,34742,35184,35606,38530,38583,38615,38557,38769,,,,,,,,,,,,,
MA03,Shared ownership scheme e.g. Social Homebuy Scheme (tenant purchase percentage of home value from landlord),415,401,398,377,389,390,378,403,416,420,413,405,,,,,,,,,,,,,
MA04,Tenant - Local Authority/Arms Length Management Organisation/Registered Landlord,19212,19242,19046,18430,18210,18135,18183,19625,19622,19688,19663,19641,,,,,,,,,,,,,
MA05,Tenant - Housing Association,22629,22361,22094,21218,21235,21203,21533,23910,24059,24016,23885,23745,,,,,,,,,,,,,
MA06,Tenant - private landlord,17908,17889,17639,16999,16758,16616,16600,17925,18110,18002,17872,17771,,,,,,,,,,,,,
MA09,Other mainstream housing,9517,9511,9310,6109,6130,6032,6000,6903,6988,6838,6907,7147,,,,,,,,,,,,,
MH00,Accommodation with mental health care support ,5581,5573,5440,5488,5493,5444,5414,4473,4373,4370,4284,4269,,,,,,,,,,,,,
MH01,Supported accommodation (accommodation supported by staff or resident caretaker),8370,8328,8342,8197,8182,8290,8369,8807,8830,8763,8779,8986,,,,,,,,,,,,,
MH02,Supported lodgings (lodgings supported by staff or resident caretaker),351,341,345,328,327,336,337,338,356,345,351,355,,,,,,,,,,,,,
MH03,Supported group home (supported by staff or resident caretaker),1677,1669,1679,1646,1655,1703,1779,1841,1815,1798,1844,1852,,,,,,,,,,,,,
MH04,Mental Health Registered Care Home ,2289,2285,2215,2159,2161,2198,2183,2346,2330,2287,2298,2271,,,,,,,,,,,,,
MH09,Other accommodation with mental health care and support,1289,1277,1292,1262,1236,1248,1265,1435,1420,1434,1400,1414,,,,,,,,,,,,,
ML00,Mobile accommodation ,224,223,209,196,192,184,191,196,182,172,165,167,,,,,,,,,,,,,
OC96,Not elsewhere classified,1487,1487,1461,792,721,695,699,735,744,717,733,711,,,,,,,,,,,,,
OC97,Not specified,3151,3248,3262,4182,4187,4276,4523,5037,5171,5256,5419,5645,,,,,,,,,,,,,
OC98,Not applicable,380,388,379,235,218,204,213,309,339,328,321,343,,,,,,,,,,,,,
OC99,Not Known (Not Recorded),36215,38133,35493,39654,39022,41127,41493,44892,45002,45777,45901,45177,,,,,,,,,,,,,
SH00,"Sheltered Housing (accommodation with a scheme manager or warden living on the premises or nearby, contactable by an alarm system if necessary) ",823,823,809,825,832,807,794,648,627,590,570,559,,,,,,,,,,,,,
SH01,Sheltered housing for older persons,300,280,285,283,278,277,282,321,331,328,322,331,,,,,,,,,,,,,
