AgeBand,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,NULL,NULL,15126
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA04,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA09,6
18+ Adult,ACCOM WITH MH CARE SUPPORT,CH09,10
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM07,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS02,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,CH03,3
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA02,7
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA01,5
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH09,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH03,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,OC96,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH04,971
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH02,34
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH01,1181
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS04,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS01,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH01,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS03,3
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH09,483
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA05,8
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH03,123
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM06,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,OC97,5
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM05,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,CJ02,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA06,4
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH04,3
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC99,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA05,4
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC96,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH09,494
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH02,61
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,SH03,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC97,4
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC98,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA01,5
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA09,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH01,11
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH09,35
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH03,354
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM03,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM07,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA04,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH01,17
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA02,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM06,1
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ04,4
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,HM05,1
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ09,13
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ02,498
