AgeBand,CareLevelGroup,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,CPA GROUP,NULL,NULL,93
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CH03,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA05,6
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS02,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CH09,7
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,SH09,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA09,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA01,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA04,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA02,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,SH01,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA06,4
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH04,391
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CJ02,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH03,84
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH02,15
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH09,311
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS01,4
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,SH03,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,OC96,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS03,3
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH01,750
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,HM07,2
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,OC97,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MH01,6
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH02,23
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH09,229
