AgeBand,CareLevelGroup,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,CPA GROUP,NULL,NULL,53
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CH03,3
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA05,5
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS02,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CH09,7
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CJ02,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA09,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA01,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA04,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA02,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH04,293
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA06,4
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HM07,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS01,4
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH09,261
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH02,13
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS04,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS03,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,SH03,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,OC96,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH03,75
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH01,668
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,HM07,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,OC97,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MH01,5
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH02,18
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MH09,7
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH03,79
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,SH03,2
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH01,6
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH09,186
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,HM03,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,HM06,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA05,2
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ09,7
