Status,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21
CH00,22,22,20,20,22,23,25,28,28,27,24,21,21,21,22,23,22,20,20,20,19,19,17,18,18,20,20,20,16,14,16,16,17,18,21,22,24,23,22
CH01,1,1,1,1,,1,1,1,1,1,1,,,,2,2,2,2,1,1,,1,1,1,1,1,1,1,1,,,1,1,2,1,1,,,1
CH02,4,3,3,4,4,4,5,5,3,3,4,2,3,3,3,2,1,1,1,1,1,,,,,1,2,,,1,1,1,2,2,2,3,3,3,3
CH03,80,85,82,85,83,81,84,85,85,84,72,71,65,61,59,58,56,58,59,63,61,65,69,70,74,70,69,59,50,48,47,44,43,42,45,40,41,40,41
CH09,27,25,25,28,23,20,18,23,21,17,18,19,20,24,26,24,24,25,25,23,24,21,19,21,19,18,18,19,16,16,17,16,15,16,21,24,22,23,23
CJ00,3,3,3,3,3,2,2,1,1,1,1,1,2,4,4,3,2,2,1,1,,1,1,1,,1,1,1,,,1,1,2,2,2,3,4,5,5
CJ01,1,2,2,1,2,3,4,2,1,1,1,2,2,2,3,2,1,1,1,1,1,1,,1,1,,,,,,,1,1,1,1,1,1,2,2
CJ02,38,37,43,41,39,31,30,33,25,22,20,22,21,18,21,21,22,23,27,27,28,29,27,28,26,28,28,26,23,23,23,24,22,22,19,14,11,12,12
CJ03,,,,,,2,2,2,2,1,1,1,1,1,1,1,,1,,,,,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1
CJ12,,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1
HM00,35,42,37,34,37,37,39,37,32,30,30,29,34,32,35,36,35,36,37,38,43,35,37,38,33,35,29,32,26,27,24,31,35,34,29,30,26,24,32
HM01,3,7,5,6,8,7,7,5,4,4,5,5,4,4,4,3,2,3,3,4,3,4,5,4,3,6,5,4,2,2,2,2,2,2,2,2,1,1,1
HM02,3,2,2,2,2,2,1,1,1,2,1,,,,,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,3,3,4,4,2,1,1,2
HM03,4,3,2,3,2,4,3,4,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,5,3,2,1,2,2,2,2,5,3,3,2,3,1,1
HM04,13,14,14,16,17,17,18,22,19,19,18,18,17,19,18,15,16,19,19,16,15,13,12,14,14,12,15,17,13,12,11,13,15,15,13,12,13,10,11
HM05,22,19,20,17,18,22,23,19,21,21,20,21,22,20,21,22,22,27,26,23,21,21,23,24,24,26,26,24,24,24,22,25,25,27,24,22,22,21,22
HM06,77,71,69,64,58,57,55,63,67,75,69,70,69,63,69,66,62,65,62,64,62,57,64,68,65,71,62,60,63,57,56,60,61,58,64,68,69,76,76
HM07,7,10,10,9,7,5,5,3,2,4,6,9,8,8,8,8,7,7,9,8,7,8,9,6,4,3,3,3,4,3,3,2,3,4,7,6,6,5,6
HS00,27,28,28,28,28,30,26,26,24,23,24,25,23,23,21,20,23,21,21,24,21,19,18,19,20,20,22,25,23,20,18,18,21,19,17,15,14,15,18
HS01,32,27,27,31,30,27,28,31,31,27,27,28,27,30,28,29,33,31,29,26,27,25,24,23,24,24,24,26,26,27,26,28,25,24,22,24,26,30,27
HS02,10,14,15,14,14,16,17,16,17,20,20,21,21,18,22,22,21,24,27,27,30,31,30,32,32,31,29,27,24,24,28,28,25,25,27,29,31,33,32
HS03,26,25,26,22,21,23,20,20,20,20,20,19,18,19,21,19,20,20,20,18,17,17,17,19,19,23,25,27,25,25,25,23,25,23,23,23,25,24,21
HS04,29,29,29,28,30,34,37,39,42,44,41,42,40,35,35,37,37,39,38,40,37,38,36,35,41,40,43,46,51,51,52,54,53,54,65,72,80,95,104
HS05,7,7,10,10,11,13,14,14,15,16,16,16,13,16,16,18,16,17,18,17,18,20,16,15,15,15,17,17,17,19,17,16,14,13,13,10,8,6,5
HS09,9,10,12,13,14,11,13,13,14,13,12,10,11,10,9,8,10,9,11,14,13,13,14,13,13,12,12,13,9,9,10,11,12,10,10,7,7,7,6
MA01,1826,1846,1890,1916,1940,1940,1941,1984,1985,2023,2018,2051,2048,2052,2055,2049,2025,2051,2039,2022,2005,1999,2025,2009,1999,2010,2004,1960,1886,1894,1910,1912,1988,2125,2263,2380,2470,2592,2684
MA02,786,795,806,805,809,824,842,850,874,871,863,857,871,898,929,974,988,979,1019,1013,1018,1061,1078,1088,1039,1074,1085,1041,985,980,1011,1076,1124,1185,1261,1327,1352,1396,1466
MA03,27,27,26,24,24,28,26,24,24,23,24,21,19,18,22,23,22,18,19,15,15,14,17,15,15,16,14,13,15,14,14,14,11,12,12,15,11,12,14
MA04,602,602,602,611,606,613,615,607,624,621,637,652,648,648,643,660,659,657,653,646,648,665,645,655,662,671,679,672,646,633,649,638,658,656,698,699,703,706,702
MA05,780,784,787,822,825,829,834,834,833,868,871,877,883,907,901,915,935,950,941,970,991,1020,1028,1027,1035,1072,1078,1058,1031,1085,1103,1121,1142,1191,1212,1240,1273,1313,1373
MA06,393,388,383,389,390,400,391,406,413,404,416,418,437,442,425,428,428,427,433,435,443,440,453,464,476,482,475,454,443,435,436,452,473,489,495,513,541,562,583
MA09,178,177,169,177,183,181,171,186,176,166,172,169,161,169,167,160,149,162,160,155,159,154,164,170,170,165,161,157,151,141,139,136,154,174,192,213,225,239,249
MH01,179,178,168,168,180,182,182,179,185,185,176,176,174,176,174,175,181,177,178,184,182,185,184,186,186,188,195,186,192,198,201,198,198,197,201,220,232,248,255
MH02,3,3,2,4,4,7,4,5,4,4,3,2,2,3,3,3,1,2,3,3,3,4,3,3,3,2,2,3,1,1,1,1,1,1,1,4,4,7,9
MH03,34,34,34,34,37,36,37,35,38,38,39,40,38,37,37,35,37,36,35,40,41,38,44,42,41,40,39,36,39,39,37,39,37,30,30,31,28,28,27
