Status,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21
CH00,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,5,5,5,5,5,4,4,4,4,3,2,2,3,3,2,3,4,5,4,4
CH01,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH02,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH03,2,3,3,5,5,5,6,5,5,6,5,5,4,4,4,4,4,4,4,5,6,6,6,5,4,4,4,4,3,3,3,3,3,3,4,4,5,4,5
CH09,2,2,2,3,2,1,,,1,,,,,1,1,,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,3,4,5,5
CJ01,1,1,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CJ02,7,6,6,7,7,4,4,6,5,5,4,4,3,3,4,3,3,3,3,3,3,5,7,6,5,6,7,7,4,4,4,3,2,3,2,2,3,2,1
CJ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
HM00,8,8,7,7,8,7,8,8,7,6,6,5,6,6,5,5,5,5,5,6,5,5,5,4,4,5,5,5,5,5,4,4,3,3,2,3,2,1,1
HM01,3,3,3,3,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,1,,,,,,,,,,,
HM02,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM03,,,,,,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
HM04,,,,,,,,1,1,1,1,1,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,
