Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,30/04/2018,NULL,12142
Total number of people in contact with adult mental health services,31/01/2018,CH00,65
Total number of people in contact with adult mental health services,28/02/2018,CH00,68
Total number of people in contact with adult mental health services,31/03/2018,CH00,70
Total number of people in contact with adult mental health services,31/05/2018,CH00,69
Total number of people in contact with adult mental health services,31/07/2018,CH00,80
Total number of people in contact with adult mental health services,31/08/2018,CH00,81
Total number of people in contact with adult mental health services,30/09/2018,CH00,82
Total number of people in contact with adult mental health services,31/10/2018,CH00,84
Total number of people in contact with adult mental health services,30/11/2018,CH00,88
Total number of people in contact with adult mental health services,31/12/2018,CH00,92
Total number of people in contact with adult mental health services,31/01/2019,CH00,91
Total number of people in contact with adult mental health services,28/02/2019,CH00,85
Total number of people in contact with adult mental health services,31/03/2019,CH00,87
Total number of people in contact with adult mental health services,30/04/2019,CH00,88
Total number of people in contact with adult mental health services,31/05/2019,CH00,84
Total number of people in contact with adult mental health services,30/06/2019,CH00,85
Total number of people in contact with adult mental health services,31/07/2019,CH00,96
Total number of people in contact with adult mental health services,31/08/2019,CH00,84
Total number of people in contact with adult mental health services,30/09/2019,CH00,80
Total number of people in contact with adult mental health services,31/10/2019,CH00,85
Total number of people in contact with adult mental health services,30/11/2019,CH00,83
Total number of people in contact with adult mental health services,31/12/2019,CH00,94
Total number of people in contact with adult mental health services,31/01/2020,CH00,93
Total number of people in contact with adult mental health services,29/02/2020,CH00,102
Total number of people in contact with adult mental health services,31/03/2020,CH00,101
Total number of people in contact with adult mental health services,30/04/2020,CH00,99
Total number of people in contact with adult mental health services,31/05/2020,CH00,99
Total number of people in contact with adult mental health services,30/06/2020,CH00,100
Total number of people in contact with adult mental health services,31/07/2020,CH00,99
Total number of people in contact with adult mental health services,31/08/2020,CH00,103
Total number of people in contact with adult mental health services,30/09/2020,CH00,100
Total number of people in contact with adult mental health services,31/10/2020,CH00,95
Total number of people in contact with adult mental health services,30/11/2020,CH00,98
Total number of people in contact with adult mental health services,31/12/2020,CH00,95
Total number of people in contact with adult mental health services,31/01/2021,CH00,93
Total number of people in contact with adult mental health services,31/01/2018,CH02,8
Total number of people in contact with adult mental health services,28/02/2018,CH02,9
Total number of people in contact with adult mental health services,31/03/2018,CH02,6
Total number of people in contact with adult mental health services,31/05/2018,CH02,5
Total number of people in contact with adult mental health services,31/07/2018,CH02,5
Total number of people in contact with adult mental health services,31/08/2018,CH02,5
Total number of people in contact with adult mental health services,30/09/2018,CH02,5
Total number of people in contact with adult mental health services,31/10/2018,CH02,5
Total number of people in contact with adult mental health services,30/11/2018,CH02,6
Total number of people in contact with adult mental health services,31/12/2018,CH02,5
Total number of people in contact with adult mental health services,31/01/2019,CH02,6
Total number of people in contact with adult mental health services,28/02/2019,CH02,5
Total number of people in contact with adult mental health services,31/03/2019,CH02,5
Total number of people in contact with adult mental health services,30/04/2019,CH02,5
Total number of people in contact with adult mental health services,31/05/2019,CH02,4
Total number of people in contact with adult mental health services,30/06/2019,CH02,4
Total number of people in contact with adult mental health services,31/07/2019,CH02,5
Total number of people in contact with adult mental health services,31/08/2019,CH02,6
Total number of people in contact with adult mental health services,30/09/2019,CH02,6
Total number of people in contact with adult mental health services,31/10/2019,CH02,8
Total number of people in contact with adult mental health services,30/11/2019,CH02,7
Total number of people in contact with adult mental health services,31/12/2019,CH02,7
Total number of people in contact with adult mental health services,31/01/2020,CH02,6
Total number of people in contact with adult mental health services,29/02/2020,CH02,6
Total number of people in contact with adult mental health services,31/03/2020,CH02,7
Total number of people in contact with adult mental health services,30/04/2020,CH02,7
Total number of people in contact with adult mental health services,31/05/2020,CH02,9
Total number of people in contact with adult mental health services,30/06/2020,CH02,13
Total number of people in contact with adult mental health services,31/07/2020,CH02,12
Total number of people in contact with adult mental health services,31/08/2020,CH02,8
Total number of people in contact with adult mental health services,30/09/2020,CH02,10
Total number of people in contact with adult mental health services,31/10/2020,CH02,10
Total number of people in contact with adult mental health services,30/11/2020,CH02,9
Total number of people in contact with adult mental health services,31/12/2020,CH02,9
Total number of people in contact with adult mental health services,31/01/2021,CH02,10
Total number of people in contact with adult mental health services,31/01/2018,CH03,184
Total number of people in contact with adult mental health services,28/02/2018,CH03,172
Total number of people in contact with adult mental health services,31/03/2018,CH03,169
Total number of people in contact with adult mental health services,31/05/2018,CH03,162
Total number of people in contact with adult mental health services,31/07/2018,CH03,163
Total number of people in contact with adult mental health services,31/08/2018,CH03,163
Total number of people in contact with adult mental health services,30/09/2018,CH03,162
Total number of people in contact with adult mental health services,31/10/2018,CH03,158
Total number of people in contact with adult mental health services,30/11/2018,CH03,152
Total number of people in contact with adult mental health services,31/12/2018,CH03,139
Total number of people in contact with adult mental health services,31/01/2019,CH03,145
Total number of people in contact with adult mental health services,28/02/2019,CH03,139
Total number of people in contact with adult mental health services,31/03/2019,CH03,148
Total number of people in contact with adult mental health services,30/04/2019,CH03,151
Total number of people in contact with adult mental health services,31/05/2019,CH03,148
Total number of people in contact with adult mental health services,30/06/2019,CH03,147
Total number of people in contact with adult mental health services,31/07/2019,CH03,180
Total number of people in contact with adult mental health services,31/08/2019,CH03,181
Total number of people in contact with adult mental health services,30/09/2019,CH03,170
Total number of people in contact with adult mental health services,31/10/2019,CH03,159
Total number of people in contact with adult mental health services,30/11/2019,CH03,154
Total number of people in contact with adult mental health services,31/12/2019,CH03,147
Total number of people in contact with adult mental health services,31/01/2020,CH03,146
Total number of people in contact with adult mental health services,29/02/2020,CH03,149
Total number of people in contact with adult mental health services,31/03/2020,CH03,145
Total number of people in contact with adult mental health services,30/04/2020,CH03,140
Total number of people in contact with adult mental health services,31/05/2020,CH03,130
Total number of people in contact with adult mental health services,30/06/2020,CH03,135
Total number of people in contact with adult mental health services,31/07/2020,CH03,135
Total number of people in contact with adult mental health services,31/08/2020,CH03,131
Total number of people in contact with adult mental health services,30/09/2020,CH03,128
Total number of people in contact with adult mental health services,31/10/2020,CH03,134
Total number of people in contact with adult mental health services,30/11/2020,CH03,133
Total number of people in contact with adult mental health services,31/12/2020,CH03,139
Total number of people in contact with adult mental health services,31/01/2021,CH03,137
Total number of people in contact with adult mental health services,31/01/2018,CH09,47
Total number of people in contact with adult mental health services,28/02/2018,CH09,41
Total number of people in contact with adult mental health services,31/03/2018,CH09,40
Total number of people in contact with adult mental health services,31/05/2018,CH09,37
Total number of people in contact with adult mental health services,31/07/2018,CH09,34
Total number of people in contact with adult mental health services,31/08/2018,CH09,34
Total number of people in contact with adult mental health services,30/09/2018,CH09,30
Total number of people in contact with adult mental health services,31/10/2018,CH09,27
Total number of people in contact with adult mental health services,30/11/2018,CH09,27
Total number of people in contact with adult mental health services,31/12/2018,CH09,26
Total number of people in contact with adult mental health services,31/01/2019,CH09,25
Total number of people in contact with adult mental health services,28/02/2019,CH09,25
Total number of people in contact with adult mental health services,31/03/2019,CH09,27
Total number of people in contact with adult mental health services,30/04/2019,CH09,29
Total number of people in contact with adult mental health services,31/05/2019,CH09,32
Total number of people in contact with adult mental health services,30/06/2019,CH09,31
Total number of people in contact with adult mental health services,31/07/2019,CH09,41
Total number of people in contact with adult mental health services,31/08/2019,CH09,40
Total number of people in contact with adult mental health services,30/09/2019,CH09,35
Total number of people in contact with adult mental health services,31/10/2019,CH09,41
Total number of people in contact with adult mental health services,30/11/2019,CH09,44
Total number of people in contact with adult mental health services,31/12/2019,CH09,43
Total number of people in contact with adult mental health services,31/01/2020,CH09,44
Total number of people in contact with adult mental health services,29/02/2020,CH09,44
Total number of people in contact with adult mental health services,31/03/2020,CH09,43
Total number of people in contact with adult mental health services,30/04/2020,CH09,40
Total number of people in contact with adult mental health services,31/05/2020,CH09,42
Total number of people in contact with adult mental health services,30/06/2020,CH09,41
Total number of people in contact with adult mental health services,31/07/2020,CH09,42
Total number of people in contact with adult mental health services,31/08/2020,CH09,42
Total number of people in contact with adult mental health services,30/09/2020,CH09,40
Total number of people in contact with adult mental health services,31/10/2020,CH09,40
Total number of people in contact with adult mental health services,30/11/2020,CH09,40
Total number of people in contact with adult mental health services,31/12/2020,CH09,41
Total number of people in contact with adult mental health services,31/01/2021,CH09,42
Total number of people in contact with adult mental health services,31/05/2018,CJ00,1
Total number of people in contact with adult mental health services,31/07/2018,CJ00,1
Total number of people in contact with adult mental health services,31/08/2018,CJ00,1
Total number of people in contact with adult mental health services,31/05/2019,CJ00,1
Total number of people in contact with adult mental health services,30/06/2019,CJ00,1
Total number of people in contact with adult mental health services,31/07/2019,CJ00,1
Total number of people in contact with adult mental health services,31/10/2019,CJ00,1
Total number of people in contact with adult mental health services,30/11/2019,CJ00,1
