MONTH,HM00,HM01,HM02,HM03,HM04,HM05,HM06,HS00,HS01,HS02,HS03,MA00,MA01,MA02,MA03,MA04,MA05,MA06,MA09,MH00,MH01,MH02,MH03,MH04,MH09,OC96,OC99,SH01,SH03
Jan-2018,2,0,6,11,2,12,0,1,0,0,0,1,31,2,2,3,0,1,0,0,0,0,1,13,1,0,1553,1,0
Feb-2018,0,0,2,7,1,18,0,2,0,1,0,0,34,6,3,2,0,1,1,0,0,1,0,2,1,0,1579,0,0
Mar-2018,1,0,5,7,1,13,0,1,1,0,0,3,24,2,2,0,1,1,0,0,0,1,1,2,1,2,1597,0,0
Apr-2018,0,0,8,5,1,19,0,1,0,0,1,1,29,5,3,3,1,1,0,0,0,0,1,2,1,0,1587,1,0
May-2018,0,0,7,6,0,14,0,2,0,0,0,2,34,4,1,2,0,1,0,0,0,0,0,5,0,0,1601,1,0
Jun-2018,0,0,8,9,1,20,0,1,0,0,0,1,30,2,1,2,1,1,1,0,0,0,0,7,0,1,1602,2,0
Jul-2018,1,0,10,3,1,23,0,3,0,0,0,3,38,7,4,2,1,1,1,0,0,0,1,8,1,1,1596,1,0
Aug-2018,0,0,7,2,1,18,0,0,2,0,0,2,31,10,3,1,2,1,0,0,0,1,0,5,1,1,1619,0,0
Sep-2018,0,0,9,5,1,10,0,3,0,0,0,0,26,4,1,0,2,1,2,0,0,0,0,1,2,1,1644,1,0
Oct-2018,1,0,11,11,2,16,0,3,1,0,0,2,30,6,1,1,0,3,2,0,0,1,1,1,0,3,1625,0,0
Nov-2018,1,0,6,4,1,20,0,3,0,0,0,1,44,4,1,4,2,1,1,0,0,2,0,2,0,1,1638,1,0
Dec-2018,1,0,7,7,0,8,0,2,0,0,0,2,36,3,2,2,0,4,2,0,0,1,2,3,0,0,1673,1,0
Jan-2019,1,0,5,7,0,25,0,2,0,0,1,1,38,9,2,1,1,1,1,0,0,1,0,4,0,0,1667,0,0
Feb-2019,0,0,8,4,1,14,0,2,0,0,0,0,39,5,1,2,1,1,0,0,0,3,0,6,1,0,1692,3,0
Mar-2019,2,0,9,6,0,14,0,3,2,0,1,0,36,5,0,2,2,0,7,0,0,0,1,5,0,1,1697,0,0
Apr-2019,2,0,12,8,1,17,0,1,0,0,2,1,27,7,2,2,1,1,1,0,0,0,1,2,0,2,1629,2,0
May-2019,4,0,6,5,1,15,1,4,1,0,2,1,32,5,2,2,0,2,2,0,0,0,0,5,1,1,1603,2,0
Jun-2019,1,0,0,5,0,18,0,0,0,0,2,1,31,3,0,1,4,0,0,0,0,1,0,4,0,0,1629,0,0
Jul-2019,0,0,6,9,0,21,0,1,1,0,0,0,37,11,0,1,3,4,2,0,0,1,0,0,0,0,1623,1,0
Aug-2019,3,0,6,4,0,10,0,2,0,0,1,2,42,4,0,2,4,2,3,0,0,1,1,3,1,0,1643,0,0
Sep-2019,1,0,5,4,1,19,0,5,0,0,0,1,26,6,0,2,1,1,2,0,0,0,3,2,1,0,1677,1,0
Oct-2019,2,0,7,5,1,19,0,2,0,0,0,2,37,8,1,3,4,2,0,0,0,2,1,6,2,0,1672,4,0
Nov-2019,3,0,7,11,1,18,1,2,1,0,0,2,40,5,2,6,1,2,1,0,0,0,0,3,1,1,1649,0,0
Dec-2019,1,0,8,3,1,14,0,0,1,0,0,0,28,6,2,2,0,1,1,0,1,0,3,4,1,0,1684,0,0
Jan-2020,3,0,7,12,1,15,0,0,0,0,2,0,47,7,1,2,1,3,2,0,0,0,3,8,0,0,1664,1,0
Feb-2020,2,0,7,6,2,9,0,0,1,0,1,0,31,5,1,2,0,1,0,0,0,2,0,2,1,0,1719,0,0
Mar-2020,0,0,10,9,0,11,0,0,0,1,0,0,27,3,2,2,1,1,1,0,0,0,0,2,2,1,1732,1,0
Apr-2020,1,0,3,8,2,11,0,2,2,0,0,0,25,4,1,1,0,2,1,0,0,1,2,1,0,0,1745,0,0
May-2020,2,0,7,4,0,15,0,0,1,0,0,0,33,2,0,5,1,2,0,0,0,0,1,1,0,1,1720,0,0
Jun-2020,1,0,6,5,0,19,0,0,0,0,2,3,40,6,2,3,1,2,0,0,0,2,0,2,1,0,1711,0,0
Jul-2020,0,0,5,15,0,17,0,1,1,0,1,2,38,7,0,2,1,4,4,1,0,0,0,0,0,4,1736,2,0
Aug-2020,4,0,9,6,0,15,0,1,0,1,4,1,31,2,1,4,0,2,2,0,0,0,0,2,1,1,1760,2,0
Sep-2020,2,0,8,10,0,13,1,1,0,0,2,1,26,3,0,4,0,2,2,0,0,0,1,1,0,0,1791,1,0
Oct-2020,6,0,11,8,0,15,0,3,1,0,1,0,23,9,4,2,1,3,2,0,0,0,1,1,0,2,1790,1,0
Nov-2020,2,0,8,8,0,12,2,0,1,0,2,1,31,4,1,4,0,3,1,0,0,0,1,2,0,0,1804,3,0
Dec-2020,1,0,7,7,3,11,1,1,0,0,1,0,24,2,0,1,1,1,1,0,0,1,1,0,1,1,1833,2,0
Jan-2021,0,0,14,15,0,18,1,1,0,0,3,2,31,3,2,2,1,0,1,0,0,0,1,3,0,2,1817,1,0
