"All MH Referrals with contact as at 17/03/2021, including re-referrals, split by referral received date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latest accommodation status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accom code,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Total
CH01,1,,4,,1,2,1,,,1,,,2,2,1,,1,,,,,,,,1,,,,1,,,,,,,,18
CH02,,,,,,,,,,,,,,,,,1,3,1,1,,,,,1,,,,,,,,,1,,,8
CH03,7,6,5,4,6,10,5,5,2,16,4,2,9,10,7,6,6,5,8,6,4,3,4,3,1,3,1,2,4,8,2,3,2,7,1,3,180
CH09,1,1,1,1,2,,5,1,2,4,2,4,3,4,5,8,4,,,2,2,,,5,,2,2,1,,4,2,2,1,2,2,1,76
CJ01,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,3
CJ02,1,1,,1,1,,,2,1,1,2,1,2,,1,,,1,1,,,2,,,,,,,1,,,,,,1,,20
CJ03,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3
CJ04,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
CJ09,,,,,1,1,1,,,,,,,,,,,,,,,2,1,1,1,,,,1,1,,,1,,,,11
HM01,1,1,3,2,,,1,,,,1,1,,1,2,,,,,,,1,2,,2,,1,2,,,,1,,,2,3,27
HM02,1,2,,3,1,,2,1,2,2,1,2,,,,,,1,,,3,4,3,1,,,2,,,,,,,,,1,32
HM03,7,7,2,8,8,2,7,3,4,10,10,5,6,6,9,6,6,1,4,7,5,5,6,5,8,4,3,6,3,6,6,5,9,2,5,3,199
HM04,8,1,4,1,3,4,4,3,3,1,3,1,2,8,1,2,3,3,10,5,4,5,8,,5,5,4,1,1,4,3,3,5,3,5,1,127
HM05,5,1,2,1,1,1,1,3,3,3,9,3,,,,2,,2,2,2,3,2,5,1,,2,1,1,3,2,2,1,2,2,1,1,70
HM06,386,363,347,327,345,299,307,224,274,351,348,253,319,307,341,273,281,256,270,202,273,299,314,252,294,280,197,135,197,265,293,223,279,339,384,253,10350
HM07,5,1,4,2,3,4,8,2,3,1,1,4,3,4,2,2,2,1,2,4,3,2,1,10,2,,1,3,3,2,4,5,10,7,5,4,120
HS01,2,1,2,1,3,3,2,4,4,6,4,1,3,5,6,5,6,2,2,5,6,4,5,2,1,7,4,,2,7,11,5,10,4,1,1,137
HS02,2,1,3,3,1,2,5,2,3,5,2,,,6,3,2,2,4,2,1,,2,2,,2,2,1,2,2,,,1,1,,,,64
HS03,,,,,,,,,,6,3,1,4,,3,1,1,2,3,2,1,2,,3,,1,1,,,2,,,,,,,36
HS04,7,2,6,3,5,6,3,5,2,2,5,5,12,2,5,7,8,3,2,2,1,5,2,1,,2,4,1,3,4,2,6,3,3,1,2,132
HS05,7,5,2,4,5,6,3,6,1,2,1,3,3,3,4,6,4,3,4,3,4,4,4,2,2,2,,4,1,5,8,,3,2,3,1,120
HS09,,,,1,,2,2,,1,2,1,,2,,,,,,1,1,,,,,1,,,,,,,1,,,1,,16
MA01,167,145,159,135,185,131,176,142,167,176,153,142,180,178,170,163,181,168,197,211,210,210,165,173,170,177,103,96,115,153,125,132,110,102,74,72,5513
MA02,585,498,512,462,549,584,532,510,556,637,627,423,567,495,572,490,547,528,604,464,499,601,581,464,578,523,444,282,354,455,493,395,408,401,394,281,17895
MA03,4,3,6,2,2,4,1,3,1,1,9,2,2,2,2,2,,2,3,6,,,3,2,3,2,3,1,,,,1,1,1,,2,76
MA04,22,18,13,15,12,15,19,17,22,19,14,12,20,17,20,21,19,19,22,26,29,20,13,10,10,12,6,14,12,14,12,16,10,9,9,9,567
MA05,41,39,40,50,48,46,35,34,32,50,54,32,39,40,38,38,51,29,52,47,51,61,41,45,41,46,35,18,38,36,32,26,25,24,22,22,1398
MA06,21,23,28,25,27,28,32,31,21,28,14,17,23,22,22,22,25,18,15,30,34,33,30,19,31,15,13,11,15,21,23,17,11,20,25,17,807
MA09,144,132,105,142,146,115,104,105,109,103,71,58,106,65,76,67,93,71,84,78,82,93,72,58,60,62,53,37,70,73,88,76,79,75,68,56,3076
MH01,25,25,28,22,24,28,35,20,24,17,29,21,19,21,27,27,32,25,31,34,28,31,29,22,20,16,22,13,21,20,18,25,26,21,15,18,859
MH02,1,2,7,1,7,5,1,2,1,1,,,,1,1,,,,1,,1,,3,2,1,,,,,,,2,3,1,,,44
MH03,,2,1,1,6,4,7,4,1,7,7,5,1,2,2,,3,2,,,3,1,4,,1,,5,,,1,1,2,2,1,,2,78
MH04,9,4,7,4,11,13,4,5,6,6,3,12,10,8,10,6,5,2,5,6,10,11,1,1,4,1,2,2,4,4,2,3,10,2,,1,194
MH09,3,5,3,3,1,7,7,4,1,7,4,5,9,6,7,11,7,10,6,7,16,7,7,8,7,4,7,5,5,3,6,6,3,2,2,6,207
NULL,97,82,90,92,102,86,107,83,98,114,99,89,77,93,105,117,110,110,121,97,110,89,107,83,97,85,70,54,74,70,84,60,64,65,85,66,3232
OC96,2,6,1,3,3,1,5,3,,3,2,3,1,2,1,1,2,2,3,5,1,6,1,5,3,1,1,4,3,4,5,3,1,2,3,2,94
OC97,242,247,258,206,189,239,246,169,176,195,220,205,216,216,240,212,244,197,246,183,196,261,259,202,215,241,151,102,117,204,210,196,237,216,233,129,7515
OC98,178,159,167,126,164,210,208,146,181,247,251,214,250,252,251,166,171,168,166,111,182,214,280,211,339,229,183,106,129,148,180,124,193,219,220,148,6891
OC99,564,535,574,519,628,575,585,505,507,572,625,495,604,526,606,498,585,542,610,451,568,707,621,503,628,708,571,364,391,745,816,586,805,787,757,550,21213
SH01,1,5,1,3,2,6,4,2,4,3,1,7,1,2,5,5,7,2,7,5,,2,3,2,,2,,2,,2,6,2,1,2,1,,98
SH02,,3,2,,3,2,1,1,1,1,,,,1,3,,,,1,4,1,,1,,,,1,,4,,1,,,2,,,33
SH03,72,83,69,57,77,81,73,69,66,72,59,49,60,51,52,73,59,55,75,54,41,60,46,45,68,35,38,25,35,47,45,39,42,41,22,24,1959
SH09,4,6,9,16,7,8,6,14,5,9,7,4,14,7,6,15,6,10,12,6,6,8,5,8,6,9,3,8,7,5,8,5,1,7,4,5,266
#N/A,717,659,722,650,799,775,776,661,704,930,900,738,888,841,1065,933,1066,991,1141,784,1034,1214,1181,969,1225,1154,906,540,613,779,801,703,733,804,939,787,31122
Grand Total,3340,3074,3187,2897,3378,3305,3321,2791,2988,3611,3548,2819,3457,3206,3671,3187,3539,3238,3714,2852,3411,3971,3810,3119,3828,3632,2839,1842,2229,3094,3289,2677,3091,3176,3285,2471,114887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All MH Referrals with contact as at 17/03/2021, including re-referrals, where patient is on CPA, split by referral received date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latest accommodation status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accom code,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Total
CH01,1,,3,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,8
CH02,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,2
CH03,1,1,,,,1,4,1,1,1,1,,,1,,1,,,2,,,,1,,,1,,1,1,2,,2,1,2,1,1,28
CH09,1,,,,1,,5,,2,4,1,4,3,3,1,5,2,,,,,,,,,,2,1,,3,1,2,1,1,2,1,46
CJ02,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
CJ03,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3
CJ04,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
HM01,,,2,1,,,,,,,,,,,,,,,,,,,1,,2,,,2,,,,,,,1,3,12
HM03,3,5,,3,3,1,4,1,3,5,3,1,,3,5,2,3,1,2,4,4,1,3,2,2,,2,3,,1,4,3,5,2,2,2,88
HM04,1,,1,1,,,,1,,,,,1,1,,1,,,,,,,3,,1,,,,,1,,,1,,1,,14
HM05,,,,,1,,,1,,,1,1,,,,1,,1,1,1,2,1,3,1,,1,1,,1,2,,,1,2,1,,24
HM06,62,57,51,49,57,72,55,39,55,60,64,71,62,75,80,72,65,67,69,63,71,87,91,73,76,92,51,46,68,71,96,63,87,85,94,54,2450
HM07,,,,,2,1,,,2,,1,,,2,1,1,,1,,1,1,,1,5,,,,,2,1,1,4,3,,1,,31
HS01,2,1,1,1,1,3,2,3,1,4,2,1,2,5,6,5,3,2,2,4,5,4,4,2,1,6,1,,,7,11,5,8,4,1,1,111
HS02,,1,3,3,1,2,5,2,2,4,1,,,5,2,1,2,4,2,1,,2,1,,2,2,,2,2,,,1,,,,,53
HS03,,,,,,,,,,6,3,1,4,,3,1,1,2,,,,,,2,,,1,,,1,,,,,,,25
HS04,2,,1,,3,4,1,,2,,2,2,8,1,4,6,7,3,1,2,1,5,1,1,,2,3,1,3,4,1,5,2,2,,1,81
HS05,3,2,,2,1,4,1,,,2,1,1,2,2,3,4,1,,2,2,1,2,2,1,1,1,,4,1,3,5,,2,,,1,57
HS09,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,5
MA01,22,12,20,14,25,16,17,19,29,39,18,19,29,22,31,30,16,25,34,35,31,23,32,30,22,25,17,24,30,40,30,25,24,26,17,17,885
MA02,67,56,58,61,62,73,60,71,68,102,82,66,104,87,88,100,87,103,111,81,86,114,96,98,80,100,79,77,100,121,105,87,86,83,105,77,3081
MA03,1,2,1,,2,,,1,,1,4,,1,,2,2,,,1,,,,,,,1,2,,,,,,,1,,2,24
MA04,12,8,6,8,7,8,12,4,11,10,6,3,9,2,10,9,8,12,7,12,16,14,5,4,4,8,3,8,6,8,3,8,7,1,6,4,269
MA05,18,19,29,30,28,24,21,17,16,21,19,15,21,23,22,12,15,15,30,31,27,30,23,26,15,25,15,14,26,26,16,20,13,11,18,17,748
MA06,7,6,8,8,11,11,14,9,4,10,6,8,12,8,7,7,11,7,6,11,14,13,10,11,8,6,5,9,5,13,11,5,8,12,15,4,320
MA09,19,9,17,19,22,12,18,17,27,10,16,15,22,15,16,16,19,18,25,13,17,12,14,11,14,15,11,10,19,15,29,13,13,17,13,31,599
MH01,12,13,15,10,9,12,23,12,12,9,18,13,11,15,17,15,24,14,17,11,17,18,18,11,13,11,9,8,13,13,12,18,22,13,11,14,503
MH02,,1,6,,2,2,1,1,,,,,,,,,,,1,,,,1,1,1,,,,,,,,3,1,,,21
MH03,,2,,,4,4,4,1,1,6,6,3,,,,,,,,,2,1,1,,,,3,,,1,,1,2,,,1,43
MH04,2,,3,,1,1,1,,,,1,1,4,,1,1,1,1,1,2,4,2,1,,1,,,,2,1,1,,1,,,,34
MH09,3,3,3,3,,6,4,3,1,6,3,5,9,5,6,7,6,6,3,6,14,7,4,6,6,4,5,5,5,2,5,6,2,2,2,3,166
NULL,,,2,3,4,1,3,2,,2,1,2,,2,1,3,5,2,4,2,1,,2,2,,,,,3,4,1,,,,4,6,62
OC96,,1,,3,1,,4,3,,,1,,,1,,,1,,2,2,,2,,,,,,2,1,1,,1,1,,,1,28
OC97,10,10,15,15,12,11,9,9,9,12,7,14,15,15,16,13,20,17,13,14,19,35,35,11,24,34,25,9,16,22,21,23,18,29,20,10,607
OC98,24,10,12,22,24,24,22,16,20,32,34,26,36,31,32,26,21,31,20,24,28,38,50,14,62,51,38,20,27,34,36,34,34,35,52,38,1078
OC99,40,31,34,32,34,38,29,24,35,45,46,36,43,33,48,42,52,64,58,39,54,69,57,58,71,78,80,61,46,91,104,79,109,113,100,84,2057
SH01,,4,,,1,3,2,1,,,1,5,,2,1,2,1,,1,,,,,,,1,,,,,,,,1,1,,27
SH02,,,,,3,1,1,,1,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,9
SH03,3,2,1,2,2,2,,1,2,1,1,1,1,1,2,2,6,1,3,1,,1,1,,1,1,1,2,2,1,,3,2,3,3,3,59
SH09,,1,3,3,1,2,4,7,2,3,2,,4,3,1,9,4,2,1,,1,3,1,2,,2,1,2,2,4,4,2,,5,3,3,87
#N/A,,1,,2,1,1,2,1,3,2,1,,2,1,1,,3,3,1,2,1,1,7,2,3,1,2,2,5,4,10,7,10,20,27,59,188
Grand Total,317,258,295,296,327,340,329,267,310,398,355,314,407,366,408,396,384,402,420,365,418,485,470,375,412,468,357,313,386,497,507,418,466,471,501,438,13936
